student01:0stack:2001:10:"Student User":/home/student01:/bin/bash
student02:0stack:2002:10:"Student User":/home/student02:/bin/bash
student03:0stack:2003:10:"Student User":/home/student03:/bin/bash
student04:0stack:2004:10:"Student User":/home/student04:/bin/bash
student05:0stack:2005:10:"Student User":/home/student05:/bin/bash
student06:0stack:2006:10:"Student User":/home/student06:/bin/bash
student07:0stack:2007:10:"Student User":/home/student07:/bin/bash
student08:0stack:2008:10:"Student User":/home/student08:/bin/bash
student09:0stack:2009:10:"Student User":/home/student09:/bin/bash
student10:0stack:2010:10:"Student User":/home/student10:/bin/bash
student11:0stack:2011:10:"Student User":/home/student11:/bin/bash
student12:0stack:2012:10:"Student User":/home/student12:/bin/bash
student13:0stack:2013:10:"Student User":/home/student13:/bin/bash
student14:0stack:2014:10:"Student User":/home/student14:/bin/bash
student15:0stack:2015:10:"Student User":/home/student15:/bin/bash
student16:0stack:2016:10:"Student User":/home/student16:/bin/bash
student17:0stack:2017:10:"Student User":/home/student17:/bin/bash
student18:0stack:2018:10:"Student User":/home/student18:/bin/bash
student19:0stack:2019:10:"Student User":/home/student19:/bin/bash
student20:0stack:2020:10:"Student User":/home/student20:/bin/bash
